structure, size, time(ns)
veb, 2^8, 1593564
veb, 2^9, 1860810
bst, 2^6, 55421
bst, 2^7, 65609
bst, 2^8, 76084
bst, 2^9, 89252
avl, 2^6, 51078
avl, 2^7, 59307
avl, 2^8, 66904
avl, 2^9, 77092
splay, 2^6, 247843
splay, 2^7, 302435
splay, 2^8, 395948
splay, 2^9, 406855
veb, 2^6, 1451037
veb, 2^7, 1523673
veb, 2^8, 1595514
veb, 2^9, 1712952
bst, 2^6, 66857
bst, 2^7, 77797
bst, 2^8, 90160
bst, 2^9, 102368
avl, 2^6, 61694
avl, 2^7, 70288
avl, 2^8, 67533
avl, 2^9, 78450
splay, 2^6, 248770
splay, 2^7, 290412
splay, 2^8, 333971
splay, 2^9, 413640
veb, 2^6, 1521534
veb, 2^7, 1499330
veb, 2^8, 1718727
veb, 2^9, 1857547
bst, 2^6, 55420
bst, 2^7, 62827
bst, 2^8, 88888
bst, 2^9, 99454
avl, 2^6, 61331
avl, 2^7, 73256
avl, 2^8, 80350
avl, 2^9, 92309
splay, 2^6, 292443
splay, 2^7, 346846
splay, 2^8, 340381
splay, 2^9, 350531
veb, 2^6, 1612655
veb, 2^7, 1623544
veb, 2^8, 1799317
veb, 2^9, 1785615
bst, 2^6, 55169
bst, 2^7, 62286
bst, 2^8, 72012
bst, 2^9, 82279
avl, 2^6, 49911
avl, 2^7, 59450
avl, 2^8, 67746
avl, 2^9, 93642
splay, 2^6, 291523
splay, 2^7, 347072
splay, 2^8, 360301
splay, 2^9, 348195
veb, 2^6, 1648892
veb, 2^7, 1561184
veb, 2^8, 1590447
veb, 2^9, 1694578
bst, 2^6, 55478
bst, 2^7, 67658
bst, 2^8, 74411
bst, 2^9, 84602
avl, 2^6, 50263
avl, 2^7, 58269
avl, 2^8, 80460
avl, 2^9, 77967
splay, 2^6, 248365
splay, 2^7, 292452
splay, 2^8, 334155
splay, 2^9, 349975
veb, 2^6, 1444373
veb, 2^7, 1672533
veb, 2^8, 1589403
veb, 2^9, 1855356
bst, 2^6, 55317
bst, 2^7, 72128
bst, 2^8, 74004
bst, 2^9, 84575
avl, 2^6, 50315
avl, 2^7, 58369
avl, 2^8, 68261
avl, 2^9, 79249
splay, 2^6, 289023
splay, 2^7, 345816
splay, 2^8, 383036
splay, 2^9, 348591
veb, 2^6, 1444899
veb, 2^7, 1626497
veb, 2^8, 1597637
veb, 2^9, 1824797
bst, 2^6, 65325
bst, 2^7, 86817
bst, 2^8, 73911
bst, 2^9, 83952
avl, 2^6, 51918
avl, 2^7, 59697
avl, 2^8, 67817
avl, 2^9, 79212
splay, 2^6, 249669
splay, 2^7, 343127
splay, 2^8, 396171
splay, 2^9, 377663
veb, 2^6, 1451467
veb, 2^7, 1709281
veb, 2^8, 1659972
veb, 2^9, 1794486
bst, 2^6, 63579
bst, 2^7, 75067
bst, 2^8, 85370
bst, 2^9, 97793
avl, 2^6, 61206
avl, 2^7, 70977
avl, 2^8, 67901
avl, 2^9, 79276
splay, 2^6, 250163
splay, 2^7, 298385
splay, 2^8, 335632
splay, 2^9, 346561
veb, 2^6, 1591734
veb, 2^7, 1657739
veb, 2^8, 1764743
veb, 2^9, 1695130
