structure, operation, time(ns)
avl, put, 1428791
avl, delete, 1445763
splay, put, 10709
splay, delete, 34641
veb, put, 1266317
veb, delete, 1864270
bst, put, 1147685
bst, delete, 5269
avl, put, 1557945
avl, delete, 1300961
splay, put, 11699
splay, delete, 34928
veb, put, 1267803
veb, delete, 2034762
bst, put, 1225373
bst, delete, 5281
avl, put, 1587333
avl, delete, 1539059
splay, put, 10670
splay, delete, 34716
veb, put, 1272182
veb, delete, 1845671
bst, put, 1071305
bst, delete, 5263
avl, put, 1451018
avl, delete, 1284007
splay, put, 12272
splay, delete, 41701
veb, put, 1349496
veb, delete, 2020559
bst, put, 1050450
bst, delete, 4420
avl, put, 1329833
avl, delete, 1323632
splay, put, 12533
splay, delete, 41164
veb, put, 1374336
veb, delete, 1848580
bst, put, 1051837
bst, delete, 4482
avl, put, 1484066
avl, delete, 1290230
splay, put, 10859
splay, delete, 37800
veb, put, 1271719
veb, delete, 1904158
bst, put, 1137356
bst, delete, 4433
avl, put, 1325533
avl, delete, 1300891
splay, put, 11758
splay, delete, 35073
veb, put, 1378162
veb, delete, 2116345
bst, put, 1063753
bst, delete, 4474
avl, put, 1324436
avl, delete, 1454288
splay, put, 10473
splay, delete, 34734
veb, put, 1268722
veb, delete, 1898746
bst, put, 1243739
bst, delete, 5236
avl, put, 1472214
avl, delete, 1334563
splay, put, 11936
splay, delete, 34972
veb, put, 1417575
veb, delete, 1897430
bst, put, 1054897
bst, delete, 4433
avl, put, 1330431
avl, delete, 1386828
splay, put, 13898
splay, delete, 42547
veb, put, 1326788
veb, delete, 1844100
bst, put, 1039314
bst, delete, 4410
avl, put, 1488865
avl, delete, 1444296
splay, put, 12214
splay, delete, 46587
veb, put, 1269113
veb, delete, 1985131
bst, put, 1040554
bst, delete, 4471
avl, put, 1319983
avl, delete, 1441479
splay, put, 12821
splay, delete, 41441
veb, put, 1466713
veb, delete, 1843307
bst, put, 1082327
bst, delete, 4447
avl, put, 1364435
avl, delete, 1427088
splay, put, 10677
splay, delete, 35441
veb, put, 1270385
veb, delete, 1840703
bst, put, 1170274
bst, delete, 5286
avl, put, 1380269
avl, delete, 1390236
splay, put, 14012
splay, delete, 41812
veb, put, 1419690
veb, delete, 1979576
bst, put, 1041520
bst, delete, 4385
avl, put, 1339267
avl, delete, 1431124
splay, put, 12567
splay, delete, 41583
